Cement,Fine_Aggregates,Coarse_Aggregates,Water,Water_reducing_Admixture,Fly_Ash,Accelerating_Agent,Silica_Fume,Time,Strength
361,830,975,170,5.525,64,0,0,7,36.7
351,812,1034,161,5.369,62,0,0,7,37.5
340,841,987,172,5.6,60,0,0,7,32.5
324,853,1002,164,5.334,57,0,0,7,30.9
293,871,1022,162,4.83,52,0,0,7,29.4
251,885,1038,162,4.13,44,0,0,7,25.4
231,886,1039,163,3.536,41,0,0,7,22.8
207,898,1054,165,2.916,36,0,0,7,17.9
355,795,1054,163,5.434,63,0,0,7,40.7
322,836,1022,163,5.306,57,0,0,7,34.2
257,862,1053,163,4.228,45,0,0,7,24.6
365,850,998,163,5.577,64,0,0,7,42.8
497,772,1007,164,7.455,60,0,0,7,49.3
236,927,1004,174,2.95,59,0,0,7,17.7
259,855,1046,175,3.24,65,0,0,7,22.8
285,842,1028,174,3.56,71,0,0,7,27.7
317,823,1007,174,3.95,79,0,0,7,32.6
331,814,994,178,0.05796,83,0,0,7,33.7
371,810,991,168,4.741,60,0,0,7,37.3
340,816,998,166,4.62,80,0,0,7,37.3
391,803,982,166,5.388,58,0,0,7,43.6
222,846,1035,161,3.938,136,0,0,7,29.9
395,782,996,168,5.448,59,0,0,7,42.8
328,813,954,164,7.035,141,0,0,7,43.9
491,775,1027,157,7.37,0,0,0,7,53.7
491,811,991,157,7.86,0,0,0,7,55.6
250,1638,0,230,0,0,0,0,7,8.3
310,1638,0,250,0,0,0,0,7,11.2
581,1229,0,310,0,0,0,0,7,23.4
840,993,0,365,0,0,0,0,7,34.7
454,839,839,218,0,0,27.24,0,7,22.4
489,823,823,215,0,0,24.45,0,7,26.6
368,794,1011,167,6.42,60,0,0,7,35.5
339,793,1009,174,4.2,85,0,0,7,40.9
305,818,1041,160,3.8,76,0,0,7,48.2
270,1630,0,270,0,0,0,0,7,11.5
315,1630,0,285,0,0,0,0,7,17.3
400,1630,0,290,0,0,0,0,7,21.4
251,858,1048,160,3.1,63,0,0,7,32.2
216,860,1052,160,3.1,92,0,0,7,29.4
246,822,1091,160,3.1,62,0,0,7,35.2
213,827,1052,167,3,91,0,0,7,29.1
211,844,1074,160,3,91,0,0,7,27.8
324,837,1022,160,3.8,57,0,0,7,48.4
316,822,1046,160,3.7,56,0,0,7,43.6
300,828,1012,160,4,100,0,0,7,36.5
358,800,1020,160,5.1,63,0,0,7,46.3
958,958,0,384,7.7,0,0,0,7,65.2
650,1630,0,310,0,0,0,0,7,32.6
439,685,1118,158,4.39,0,0,0,7,56.8
444,682,1114,160,4.44,0,0,0,7,55.4
369,787,1043,165,5.21,65,0,0,7,49.6
367,771,1067,160,5.19,65,0,0,7,51.6
421,736,1060,150,6.29,48,0,15,7,61.6
435,746,1030,155,6.5,50,0,15,7,61.7
210,858,1137,158,2.47,37,0,0,7,17.2
244,909,1066,158,3.44,43,0,0,7,22.8
269,810,1166,158,3.48,47,0,0,7,26.2
477,798,865,210,4.77,0,33.4,0,7,28.8
335,782,1125,158,4.62,50,0,0,7,34.7
330,782,1081,165,5.23,72,0,0,7,34.6
362,769,1107,158,5.41,54,0,0,7,38.9
488,756,888,210,3.9,0,34.12,0,7,34.2
277,881,993,180,5.19,69,0,0,7,27
253,895,1010,180,4.74,63,0,0,7,21.3
528,791,791,190,5.28,0,31.68,0,7,26.1
475,772,1023,155,6,0,0,25,7,61.3
460,778,1032,155,5.82,0,0,25,7,64.2
470,773,1024,158,5.94,0,0,25,7,65
340,848,957,170,5.1,85,0,0,7,30.4
206,980,980,165,2.75,69,0,0,7,17.4
225,968,967,165,3,75,0,0,7,23.2
257,895,1010,165,3.3,73,0,0,7,28
276,882,994,170,3.54,78,0,0,7,32.6
366,861,933,170,4.36,70,0,0,7,33.9
424,759,1005,165,5.65,47,0,0,7,43.7
462,761,1009,161,6.23,57,0,0,7,54.3
234,980,980,165,2.75,41,0,0,7,18.6
276,921,997,165,3.17,41,0,0,7,24.4
303,873,1025,165,3.37,34,0,0,7,28.9
337,837,1023,165,3.75,38,0,0,7,33.1
392,825,969,170,4.36,44,0,0,7,34.7
401,823,966,165,5.35,45,0,0,7,43.9
478,783,1037,153,5.74,0,0,0,7,54.7
340,848,957,170,5.1,85,0,0,7,30.4
276,882,994,170,3.54,78,0,0,7,32.6
389,764,1014,165,5.5,69,0,0,7,41.8
358,820,963,170,5.81,89,0,0,7,38.4
235,890,1045,165,3,65,0,0,7,19.2
395,781,1036,157,5.71,62,0,19,7,52
409,761,1051,151,5.84,54,0,24,7,56.5
391,759,996,156,6.85,78,0,20,7,61.7
391,758,996,156,6.36,78,0,20,7,62.5
416,776,1029,156,6.36,73,0,0,7,53.9
489,776,1029,156,6.846,0,0,0,7,52.1
440,776,1029,156,6.85,49,0,0,7,50.3
208,893,1091,156,3.12,52,0,0,7,18.4
232,878,1072,160,3.48,58,0,0,7,23.7
256,864,1056,160,3.84,64,0,0,7,27.9
308,883,959,173,5.39,77,0,0,7,33.8
306,880,992,168,4.32,54,0,0,7,32.4
216,789,1089,162,5.04,144,0,0,7,31.2
351,774,1068,168,5.46,39,0,0,7,37.7
445,757,1046,152,8.91,50,0,0,7,52.8
382,802,1064,159,7.65,43,0,0,7,45.6
382,784,1082,159,7.65,43,0,0,7,46.4
480,800,1018,152,8.64,0,0,0,7,53.1
520,770,1063,147,9.36,0,0,0,7,60.7
330,869,942,159,7.31,100,0,0,7,38
352,769,354.3333333,168,4.4,48,0,0,7,38.5
352,788,348,168,4.8,48,0,0,7,34.2
260,840,356.3333333,165,3.37,46,0,0,7,29.8
286,808,357,165,3.7,51,0,0,7,33.7
352,806,342,168,7.2,48,0,0,7,37.4
206,843,372.3333333,165,4.12,69,0,0,7,21.5
225,832,367.6666667,165,4.5,75,0,0,7,25.5
264,781,374.6666667,165,4.95,66,0,0,7,29.8
307,725,379.3333333,165,5.62,68,0,0,7,37.6
363,730,381.3333333,165,7.42,49,0,0,7,40.1
401,717,374,165,8.03,45,0,0,7,46.5
201,942,1020,166,4.08,71,0,0,7,22
250,913,1029,174,5.02,84,0,0,7,28.1
292,863,1054,168,5.48,73,0,0,7,36.8
321,851,1040,168,7.04,70,0,0,7,35.9
359,797,1057,164,7.78,73,0,0,7,40.2
405,803,1022,170,7.29,0,0,0,7,34.2
379,743,1115,163,5.685,0,0,0,7,33.5
321,802,1107,170,4.815,0,0,0,7,23.1
395,807,1028,170,7.11,0,0,0,7,34
366,787,1086,161,5.856,0,0,0,7,32.9
318,839,1068,175,4.77,0,0,0,7,22.6
436,700,1094,170,7.85,0,0,0,7,42.5
344,757,1134,165,6.19,0,0,0,7,33.5
275,843,1117,165,4.95,0,0,0,7,23.3
316,807,1028,170,5.925,79,0,0,7,31.8
316,742,1113,150,5.925,79,0,0,7,35.1
346,688,1123,156,6.495,87,0,0,7,40.1
395,742,1113,150,5.925,0,0,0,7,41
433,688,1123,156,6.495,0,0,0,7,46.1
362,750,1125,163,5.43,0,0,0,7,35.4
254,872,1109,165,4.57,0,0,0,7,23.3
344,756,1135,165,6.19,0,0,0,7,33.5
436,700,1094,170,7.85,0,0,0,7,42.5
427,710,1158,155,7.69,0,0,0,7,48.3
395,738,1107,160,7.11,0,0,0,7,46.5
380,777,1073,170,6.84,0,0,0,7,39.4
366,750,1124,160,5.5,0,0,0,7,44.1
385,864,974,177,6.93,0,0,0,7,35.9
377,817,1040,166,5.66,0,0,0,7,35.2
391,827,1010,172,7.04,0,0,0,7,37.5
391,827,1010,172,7.04,0,0,0,7,35.9
385,864,974,177,6.93,0,0,0,7,36
327,875,1028,170,4.58,0,0,0,7,29
344,870,1021,165,5.16,0,0,0,7,32.2
377,817,1040,166,5.66,0,0,0,7,36.8
398,809,1030,163,6.37,0,0,0,7,39.9
297,925,1003,175,3.86,0,0,0,7,21.2
398,756,1067,159,6.37,0,0,0,7,45.9
377,782,1079,162,5.66,0,0,0,7,41.3
304,847,1079,170,4.25,0,0,0,7,27.9
338,828,1011,163,7.16,60,0,0,7,35.3
426,718,1124,162,7.24,0,0,0,7,50.7
372,714,1116,162,7.45,66,0,0,7,49.4
322,836,1022,163,6.82,57,0,0,7,40.8
330,795,1054,163,6.21,58,0,0,7,40.3
300,818,1042,165,5.63,75,0,0,7,38.2
319,818,1042,165,5.63,56,0,0,7,39.2
286,864,1014,165,5.06,51,0,0,7,37.1
273,864,1015,170,4.49,48,0,0,7,31.1
249,890,1004,173,3.81,44,0,0,7,27.4
319,837,1023,165,5.63,56,0,0,7,35.8
322,855,1003,163,6.82,57,0,0,7,37.5
300,837,1023,165,5.63,75,0,0,7,33
280,867,1018,165,4.95,50,0,0,7,37.2
268,886,999,170,4.41,47,0,0,7,27.3
245,893,1006,173,3.74,43,0,0,7,22.1
330,795,1054,163,6.21,58,0,0,7,39.2
372,714,1116,162,7.45,66,0,0,7,43.7
380,832,1017,171,6.84,0,0,0,28,42.8
338,824,1007,171,7.16,60,0,0,28,42.2
241,896,1051,170,4.24,42,0,0,28,24.4
358,823,1047,172,5.37,0,0,0,28,41.6
304,823,1047,172,5.37,54,0,0,28,41.2
205,925,1044,190,3.62,36,0,0,28,22.2
425,758,1047,170,6.38,0,0,0,28,52.4
369,738,1063,165,7.81,65,0,0,28,53.5
321,859,1050,170,4.82,0,0,0,28,36.4
281,835,1062,172,4.96,50,0,0,28,35.8
353,780,1035,170,6.22,62,0,0,28,46.6
391,790,1047,172,5.86,0,0,0,28,46.2
293,891,1046,170,4.4,0,0,0,28,30.6
266,843,1072,172,4.7,47,0,0,28,29.8
209,988,989,174,3.74,40,0,0,28,23.9
235,965,1004,171,4.2,45,0,0,28,28.5
270,926,1003,170,4.82,51,0,0,28,37.4
319,866,1017,167,5.7,61,0,0,28,43.25
332,893,968,174,7.11,63,0,0,28,42.55
324,843,1031,170,5.79,62,0,0,28,42.5
216,789,1089,162,5.4,144,0,0,28,43.2
344,842,1030,168,6.15,66,0,0,28,47
276,927,1046,171,4.14,0,0,0,28,28.95
309,893,1048,170,4.64,0,0,0,28,37.55
373,869,1020,168,5.6,0,0,0,28,42
384,880,993,173,6.91,0,0,0,28,42.05
384,841,1027,168,5.76,0,0,0,28,41.15
395,822,1047,166,5.92,0,0,0,28,45.35
431,796,1055,168,7.76,0,0,0,28,50.9
470,761,929,190,5.64,0,0,0,28,35.85
450,770,942,188,5.4,0,0,0,28,28.25
250,1600,0,270,0,0,0,0,28,12.8
300,1600,0,270,0,0,0,0,28,16.8
320,1600,0,280,0,0,0,0,28,18.8
400,1600,0,280,0,0,0,0,28,26
540,1600,0,300,0,0,0,0,28,38.3
790,950,0,386,7.9,0,0,0,28,38.5
560,1600,0,250,5.6,0,0,0,28,39.2
500,805,805,240,0,0,30,0,28,40.33333333
469,826,825,230,0,0,28.14,0,28,34.88333333
500,832,833,185,0,4,50,0,28,42
460,853,853,184,0,3.68,46,0,28,36.4
386,830,1014,170,6.95,0,0,0,28,48.2
320,788,1044,168,7.2,80,0,0,28,44.81666667
313,775,1071,172,5.73,69,0,0,28,42.33333333
375,818,1042,165,5.62,0,0,0,28,49.16666667
305,807,1069,165,5.38,54,0,0,28,39.13333333
344,832,1059,165,5.16,0,0,0,28,37.6
317,825,1093,165,4.76,0,0,0,28,41.88333333
286,834,1062,168,5.04,50,0,0,28,39.08333333
365,821,1046,168,5.48,0,0,0,28,37.9
382,814,1036,168,5.73,0,0,0,28,46.55
378,815,1037,170,5.67,0,0,0,28,44.56666667
336,771,1064,170,5.92,59,0,0,28,44.08333333
434,740,1111,165,7.81,0,0,0,28,54.18333333
382,771,1064,166,8.08,67,0,0,28,53.86666667
444,757,1089,160,7.99,0,0,0,28,53.05
376,736,1104,168,7.96,66,0,0,28,54.1
275,834,1106,165,4.13,0,0,0,28,29.05
295,845,1075,165,4.43,0,0,0,28,33.8
259,820,1087,168,4.58,46,0,0,28,32.21666667
446,772,1067,165,6.69,0,0,0,28,52.23333333
242,851,1127,160,3.63,0,0,0,28,26.41666667
383,719,1225,153,6.13,0,0,0,28,7.9
393,792,1050,165,5.5,0,0,0,28,49.6
225,763,1097,165,7.5,150,0,0,28,35.1
234,834,1106,165,3.9,41,0,0,28,28.4
252,880,1033,168,4.2,48,0,0,28,32.8
293,881,1036,168,4.1,0,0,0,28,35.5
257,880,1033,166,4.5,45,0,0,28,33
276,853,1042,168,5,60,0,0,28,36.6
323,859,1050,168,4.8,0,0,0,28,39.2
293,863,1012,168,5.4,64,0,0,28,35.5
343,869,1020,169,5.1,0,0,0,28,41.8
313,818,1040,168,6,60,0,0,28,42.1
370,837,1023,170,5.9,0,0,0,28,44.3
321,865,976,168,7,70,0,0,28,42.7
378,852,1000,170,6.8,0,0,0,28,48.8
317,870,980,168,6.5,65,0,0,28,41.8
365,877,990,168,6.2,0,0,0,28,44
325,851,999,168,6.5,57,0,0,28,44.8
373,855,1004,168,6.3,0,0,0,28,42.9
376,791,1048,165,8,70,0,0,28,50.8
423,801,1061,165,7.6,0,0,0,28,52
385,822,1005,165,8.2,73,0,0,28,51.7
434,833,1018,165,7.8,0,0,0,28,52.1
340,806,1026,168,6.8,60,0,0,28,46.8
391,829,1012,168,6.6,0,0,0,28,48.2
463,901,901,185,6.5,0,32.4,0,28,35.9
500,883,883,185,7,0,35,0,28,40.4
450,785,785,180,5.4,0,27,0,28,36.8
420,796,795,189,5.04,0,16.8,0,28,34.5
295,861,970,171,5.97,103,0,0,28,46.35
295,861,970,171,5.97,103,0,0,28,46.35
338,864,975,163,5.17,60,0,0,28,50.85
296,776,1116,160,3.83,52,0,0,28,45.35
280,838,1067,165,3.96,50,0,0,28,40.45
269,862,1053,168,3.804,48,0,0,28,33.5
238,937,1015,168,3.36,42,0,0,28,28.75
350,784,1039,165,5.36,62,0,0,28,51.65
357,725,1087,168,6.3,63,0,0,28,55.45
494,737,1061,158,7.41,0,0,0,28,68.05
480,706,1059,158,7.91,47,0,0,28,72.1
318,861,970,171,5.17,80,0,0,28,46.35
214,917,1033,165,3.42,71,0,0,28,26.4
267,903,1019,164,3.768,47,0,0,28,34.15
450,840,840,171,0,0,27,0,28,32.65
470,826,826,178,0,0,28.2,0,28,35.85
293,871,1023,162,4.128,52,0,0,28,34.2
300,863,974,163,5.6,100,0,0,28,43.7
323,855,1003,162,4.94,57,0,0,28,39.8
298,860,970,172,5.97,100,0,0,28,43.75
340,826,1009,165,5.2,60,0,0,28,43.7
357,823,1047,160,5.46,63,0,0,28,57
311,816,997,172,6.225,104,0,0,28,48
483,742,1067,162,7.245,0,0,0,28,74.25
194,869,1063,179,3.11,65,0,0,28,21.85
214,868,1062,185,3.42,71,0,0,28,28.2
260,837,1066,172,3.9,65,0,0,28,34.3
301,798,1057,169,4.51,75,0,0,28,40.15
330,768,1061,169,4.94,82,0,0,28,44.85
354,743,1070,164,5.32,89,0,0,28,50.9
314,790,1048,169,4.72,79,0,0,28,40.9
346,759,1049,169,5.2,87,0,0,28,43.9
322,783,1038,177,6.03,80,0,0,28,40.85
418,838,838,205,2.93,0,29.26,0,28,28.7
455,798,798,250,0,0,31.85,0,28,27.7
466,814,814,205,3.26,0,32.62,0,28,35.7
480,790,790,240,0,0,33.6,0,28,35
294,802,1062,169,4.4,73,0,0,28,40.5
322,772,1067,169,4.82,80,0,0,28,45
346,748,1076,164,6.05,86,0,0,28,50.95
307,794,1053,169,4.61,77,0,0,28,42.05
338,764,1055,169,5.06,84,0,0,28,45.65
314,787,1043,177,5.9,79,0,0,28,40.7
440,820,820,220,0,0,30.8,0,28,28.1
489,796,796,220,0,0,34.23,0,28,34.5
301,798,1057,169,4.51,75,0,0,28,38.6
322,819,1002,177,6.03,80,0,0,28,40
194,765,1147,179,3.37,65,0,0,28,22.85
221,854,1044,177,3.54,74,0,0,28,27.9
260,833,1060,172,3.9,65,0,0,28,34.15
334,768,1061,169,5.23,68,0,0,28,44.4
359,745,1073,169,6.5,74,0,0,28,49.7
307,794,1053,169,4.61,77,0,0,28,41.35
350,760,1049,169,5.49,72,0,0,28,47.25
314,825,1009,173,5.9,79,0,0,28,39.65
301,816,1039,169,4.51,75,0,0,28,39.15
334,786,1043,169,5.23,68,0,0,28,44.1
351,751,1081,165,6.34,72,0,0,28,49.45
197,859,1049,179,3.42,66,0,0,28,22.7
221,854,1044,177,3.54,74,0,0,28,27.55
260,700,1193,172,3.9,65,0,0,28,34.2
494,683,1115,158,7.41,0,0,0,28,63
470,693,1130,157,7.05,0,0,0,28,61.6
352,803,981,176,6.6,88,0,0,28,46.25
331,815,997,174,6.21,83,0,0,28,44.15
353,715,1072,172,5.733,88,0,0,28,44.95
386,729,1049,168,5.902,68,0,0,28,49.3
305,816,1039,164,4.953,76,0,0,28,43.05
262,790,1092,168,4.55,88,0,0,28,36.9
